Time,OA Drybulb (F),OA Wetbulb (F),OA Dewpoint (F),Condenser Water Temp (F),Chilled Water Temp (F),Opt 1x750 2x1250 CH1 Load (Btu),Opt 1x7502x1250 CH2 Load (Btu),Opt 1x750 2x1250 CH3 Load (Btu),Opt 1x750 2x1250 CH1 PLR,Opt 1x750 2x1250 CH2 PLR,Opt 1x750 2x1250 CH3 PLR,Opt 1x750 2x1250 CH1 kW/Ton,Opt 1x750 2x1250 CH2 kW/Ton,Opt 1x750 2x1250 CH3 kW/Ton,Opt 1x750 2x1250 CH1 kW,Opt 1x750 2x1250 CH2 kW,Opt 1x750 2x1250 CH3 kW,Opt 1x750 2x1250 Total Plant Load (Btu),Opt 1x750 2x1250 Total Plant kW,Opt 1x750 2x1250 Total Plant kW/Ton,Opt 3x1000 CH1 Load (Btu),Opt 3x1000 CH2 Load (Btu),Opt 3x1000 CH3 Load (Btu),Opt 3x1000 CH1 PLR,Opt 3x1000 CH2 PLR,Opt 3x1000 CH3 PLR,Opt 3x1000 CH1 kW/Ton,Opt 3x1000 CH2 kW/Ton,Opt 3x1000 CH3 kW/Ton,Opt 3x1000 CH1 kW,Opt 3x1000 CH2 kw,Opt 3x1000 CH3 kW,Opt 3x1000 Total Plant Load (Btu),Opt 3x1000 Total Plant kW,Opt 3x1000 Total Plant kW/Ton,Opt 3x1000 Mag CH1 Load (Btu),Opt 3x1000 Mag CH2 Load (Btu),Opt 3x1000 Mag CH3 Load (Btu),Opt 3x1000 Mag CH1 PLR,Opt 3x1000 Mag CH2 PLR,Opt 3x1000 Mag CH3 PLR,Opt 3x1000 Mag CH1 kW/Ton,Opt 3x1000 Mag CH2 kW/Ton,Opt 3x1000 Mag CH3 kW/Ton,Opt 3x1000 Mag CH1 kW,Opt 3x1000 Mag CH2 kW,Opt 3x1000 Mag CH3 kW,Opt 3x1000 Mag Total Plant Load (Btu),Opt 3x1000 Mag Total Plant kW,Opt 3x1000 Mag Total Plant kW/Ton,Opt Ice CH2 Load (Btu),Opt Ice CH3 Load (Btu),Opt Ice CH1 Load (Btu),Opt Ice Ice CH Load (Btu),Opt Ice CH2 PLR,Opt Ice CH3 PLR,Opt Ice CH1 PLR,Opt Ice Ice CHPLR,Opt Ice CH1 kW/Ton,Opt Ice CH2 kW/Ton,Opt Ice CH3 kW/Ton,Opt Ice CH1 kW,Opt Ice CH2 kW,Opt Ice CH3 kW,Opt Ice Ice CH Load (Btu),Opt Ice Ice CH PLR,Opt Ice Ice CH kW,Opt Ice Tank Charge Load (Btu),Opt Ice Tank Discharge Load (Btu),Opt Ice Tank Available Capacity,Opt Ice kW/Ton,Opt Ice Total Plant Load (Btu),Opt Ice Total Plant kW,Opt Ice Total Plant kW/Ton
1/2/2019 5:00,23,19,6.80088,44.6152,47.1324,0,0,0,0,0,0,0.251438792,0.185708678,0.185708678,0,0,0,0,43.508381,0,0,0,0,0,0,0,0.201288554,0.201288554,0.201288554,0,0,0,0,42.838602,0,0,0,0,0,0,0,0.269317243,0.269317243,0.269317243,0,0,0,0,42.838602,0,0,0,0,0,0,0,0,0,0.201288554,0.201288554,0.201288554,0,0,0,0,0,0,0,0,0,0,0,41.183554,0
1/2/2019 6:00,22,18,6.80088,44.6094,47.1297,0,0,0,0,0,0,0.251090196,0.1853845,0.1853845,0,0,0,0,42.067776,0,0,0,0,0,0,0,0.200821657,0.200821657,0.200821657,0,0,0,0,41.3595692,0,0,0,0,0,0,0,0.269382118,0.269382118,0.269382118,0,0,0,0,41.3595692,0,0,0,0,0,0,0,0,0,0.200821657,0.200821657,0.200821657,0,0,0,0,0,0,0,0,0,0,0,39.7556021,0
1/2/2019 7:00,22,18,6.80088,44.6974,47.1753,0,0,0,0,0,0,0.252083551,0.186317234,0.186317234,0,0,0,0,49.019572,0,0,0,0,0,0,0,0.202176228,0.202176228,0.202176228,0,0,0,0,49.068431,0,0,0,0,0,0,0,0.269138997,0.269138997,0.269138997,0,0,0,0,49.068431,0,0,0,0,0,0,0,0,0,0.202176228,0.202176228,0.202176228,0,0,0,0,0,0,0,0,0,0,0,48.57774669,0
1/2/2019 8:00,22,18,6.80088,44.7142,47.2078,0,0,0,0,0,0,0.251535976,0.185817697,0.185817697,0,0,0,0,47.602835,0,0,0,0,0,0,0,0.201471042,0.201471042,0.201471042,0,0,0,0,47.598175,0,0,0,0,0,0,0,0.269175698,0.269175698,0.269175698,0,0,0,0,47.598175,0,0,0,0,0,0,0,0,0,0.201471042,0.201471042,0.201471042,0,0,0,0,0,0,0,0,0,0,0,47.584162,0
1/2/2019 9:00,22,18,6.86562,44.7055,47.216,0,0,0,0,0,0,0.251967927,0.186226072,0.186226072,0,0,0,0,53.71097,0,0,0,0,0,0,0,0.202067515,0.202067515,0.202067515,0,0,0,0,53.70628,0,0,0,0,0,0,0,0.269051924,0.269051924,0.269051924,0,0,0,0,53.70628,0,0,0,0,0,0,0,0,0,0.202067515,0.202067515,0.202067515,0,0,0,0,0,0,0,0,0,0,0,53.6916,0
1/2/2019 10:00,24,20,6.86562,44.7134,47.2241,0,0,0,0,0,0,0.25194262,0.186211457,0.186211457,0,0,0,0,56.71521,0,0,0,0,0,0,0,0.202058676,0.202058676,0.202058676,0,0,0,0,56.70937,0,0,0,0,0,0,0,0.268997542,0.268997542,0.268997542,0,0,0,0,56.70937,0,0,0,0,0,0,0,0,0,0.202058676,0.202058676,0.202058676,0,0,0,0,0,0,0,0,0,0,0,56.69147,0
1/2/2019 11:00,27,22,8.57904,44.7039,47.2215,0,0,0,0,0,0,0.251930514,0.1862038,0.1862038,0,0,0,0,58.15787,0,0,0,0,0,0,0,0.202052584,0.202052584,0.202052584,0,0,0,0,58.15181,0,0,0,0,0,0,0,0.268975927,0.268975927,0.268975927,0,0,0,0,58.15181,0,0,0,0,0,0,0,0,0,0.202052584,0.202052584,0.202052584,0,0,0,0,0,0,0,0,0,0,0,58.13307,0
1/2/2019 12:00,28,23,11.5808,44.7272,47.2349,0,0,0,0,0,0,0.251932131,0.186206932,0.186206932,0,0,0,0,58.90722,0,0,0,0,0,0,0,0.202059307,0.202059307,0.202059307,0,0,0,0,58.90097,0,0,0,0,0,0,0,0.268964856,0.268964856,0.268964856,0,0,0,0,58.90097,0,0,0,0,0,0,0,0,0,0.202059307,0.202059307,0.202059307,0,0,0,0,0,0,0,0,0,0,0,58.88182,0
1/2/2019 13:00,29,24,11.5808,44.7147,47.2323,0,0,0,0,0,0,0.251745477,0.186029628,0.186029628,0,0,0,0,55.88658,0,0,0,0,0,0,0,0.201799317,0.201799317,0.201799317,0,0,0,0,55.88075,0,0,0,0,0,0,0,0.269023773,0.269023773,0.269023773,0,0,0,0,55.88075,0,0,0,0,0,0,0,0,0,0.201799317,0.201799317,0.201799317,0,0,0,0,0,0,0,0,0,0,0,55.863,0
1/2/2019 14:00,30,25,12.9668,44.725,47.2376,0,0,0,0,0,0,0.251765763,0.186044619,0.186044619,0,0,0,0,54.93344,0,0,0,0,0,0,0,0.201815579,0.201815579,0.201815579,0,0,0,0,54.92804,0,0,0,0,0,0,0,0.269045696,0.269045696,0.269045696,0,0,0,0,54.92804,0,0,0,0,0,0,0,0,0,0.201815579,0.201815579,0.201815579,0,0,0,0,0,0,0,0,0,0,0,54.91158,0
1/2/2019 15:00,31,25,12.9668,44.726,47.2404,0,0,0,0,0,0,0.251934706,0.186204316,0.186204316,0,0,0,0,57.48519,0,0,0,0,0,0,0,0.202048712,0.202048712,0.202048712,0,0,0,0,57.47955,0,0,0,0,0,0,0,0.268997542,0.268997542,0.268997542,0,0,0,0,57.47955,0,0,0,0,0,0,0,0,0,0.202048712,0.202048712,0.202048712,0,0,0,0,0,0,0,0,0,0,0,57.46207,0
1/2/2019 16:00,31,26,15.5022,44.707,47.2296,0,0,0,0,0,0,0.251481305,0.185776667,0.185776667,0,0,0,0,51.23703,0,0,0,0,0,0,0,0.201425444,0.201425444,0.201425444,0,0,0,0,51.23176,0,0,0,0,0,0,0,0.2691208,0.2691208,0.2691208,0,0,0,0,51.23176,0,0,0,0,0,0,0,0,0,0.201425444,0.201425444,0.201425444,0,0,0,0,0,0,0,0,0,0,0,51.21604,0
1/2/2019 17:00,30,26,16.669,44.7093,47.2269,0,0,0,0,0,0,0.251844289,0.186112109,0.186112109,0,0,0,0,53.90078,0,0,0,0,0,0,0,0.201905061,0.201905061,0.201905061,0,0,0,0,53.89621,0,0,0,0,0,0,0,0.269067908,0.269067908,0.269067908,0,0,0,0,53.89621,0,0,0,0,0,0,0,0,0,0.201905061,0.201905061,0.201905061,0,0,0,0,0,0,0,0,0,0,0,53.88153,0
1/2/2019 18:00,30,26,18.8345,44.6745,47.2054,0,0,0,0,0,0,0.251524635,0.185812432,0.185812432,0,0,0,0,50.10762,0,0,0,0,0,0,0,0.201470703,0.201470703,0.201470703,0,0,0,0,50.10277,0,0,0,0,0,0,0,0.269142801,0.269142801,0.269142801,0,0,0,0,50.10277,0,0,0,0,0,0,0,0,0,0.201470703,0.201470703,0.201470703,0,0,0,0,0,0,0,0,0,0,0,50.08822,0
1/2/2019 19:00,31,27,19.8438,44.6848,47.2026,0,0,0,0,0,0,0.251782586,0.186051568,0.186051568,0,0,0,0,52.47564,0,0,0,0,0,0,0,0.201813686,0.201813686,0.201813686,0,0,0,0,52.47122,0,0,0,0,0,0,0,0.269100174,0.269100174,0.269100174,0,0,0,0,52.47122,0,0,0,0,0,0,0,0,0,0.201813686,0.201813686,0.201813686,0,0,0,0,0,0,0,0,0,0,0,52.45741,0
